"ID","season","year","area","ECOREGION","yearqtr","lat","lon","X","Y"
"61","Fall",2016,1436.23636964598,"Araucanian",2016 Q2,-37.1851423464252,-73.6252968562415,89.3381942249177,5874.55818214233
"62","Fall",2016,3351.25379832544,"Araucanian",2016 Q2,-37.184186995283,-73.6242309988204,89.4276974476823,5874.66888874685
"63","Fall",2016,2074.59312803054,"Araucanian",2016 Q2,-37.1837745270528,-73.6232119206706,89.5159933101373,5874.7191122937
"64","Fall",2016,1915.11881805862,"Araucanian",2016 Q2,-37.1791585686005,-73.621399166619,89.6519997076215,5875.23951227934
"65","Fall",2016,1835.34282414813,"Araucanian",2016 Q2,-37.1782602532574,-73.6210912648249,89.6744832214227,5875.34059251028
"66","Fall",2016,3112.22426860692,"Araucanian",2016 Q2,-37.1749065431549,-73.6182746405677,89.90655251846,5875.72518910406
"67","Fall",2016,1356.67080676137,"Araucanian",2016 Q2,-37.1707989524439,-73.6129770198341,90.3550107475238,5876.20423379308
"68","Fall",2016,4708.64462976398,"Araucanian",2016 Q2,-37.1674347926178,-73.6119229532462,90.4304642681876,5876.58233539486
"69","Fall",2016,4549.02224346658,"Araucanian",2016 Q2,-37.1674237341889,-73.6109448238425,90.5173197418005,5876.58779869641
"70","Fall",2016,1516.36617045003,"Araucanian",2016 Q2,-37.166180276666,-73.6112001355324,90.4879054695309,5876.72475927502
"71","Fall",2016,22966.6245793609,"Araucanian",2016 Q2,-37.4870469594924,-73.5946927283489,93.6908895476067,5841.1688817815
"72","Fall",2016,3020.38710429636,"Araucanian",2016 Q2,-37.4735861304072,-73.5974606405327,93.3728514556092,5842.65152988623
"73","Fall",2016,1748.74311345082,"Araucanian",2016 Q2,-37.4693593211497,-73.5974359253715,93.3520785538842,5843.12096249674
"74","Fall",2016,2394.31833927578,"Araucanian",2016 Q2,-37.1643273827527,-73.6106822645159,90.5239001549066,5876.93273557325
"75","Fall",2016,2154.92295600678,"Araucanian",2016 Q2,-37.162968930832,-73.6101785425911,90.5613144564407,5877.0857504431
